tract_id,median_hhold_inc
53033000100,55143.0
53033000200,77463.0
53033000300,100917.0
53033000401,32877.0
53033000402,72150.0
53033000500,148906.0
53033000600,77269.0
53033000700,64310.0
53033000800,102500.0
53033000900,147750.0
53033001000,110956.0
53033001100,95573.0
53033001200,51807.0
53033001300,72850.0
53033001400,93948.0
53033001500,128059.0
53033001600,143125.0
53033001701,75162.0
53033001702,93679.0
53033001800,95993.0
53033001900,89448.0
53033002000,121184.0
53033002100,113750.0
53033002200,134554.0
53033002400,126944.0
53033002500,121635.0
53033002600,114219.0
53033002700,145500.0
53033002800,137127.0
53033002900,112969.0
53033003000,105581.0
53033003100,127787.0
53033003200,95182.0
53033003300,127665.0
53033003400,112650.0
53033003500,105625.0
53033003600,83739.0
53033003800,124286.0
53033003900,111806.0
53033004000,85707.0
53033004100,178935.0
53033004200,128966.0
53033004301,95764.0
53033004302,34461.0
53033004400,64026.0
53033004500,113669.0
53033004600,136528.0
53033004700,96745.0
53033004800,121492.0
53033004900,101203.0
53033005000,98698.0
53033005100,119625.0
53033005200,47883.0
53033005301,26413.0
53033005302,17188.0
53033005400,110956.0
53033005600,167622.0
53033005700,118750.0
53033005801,98281.0
53033005802,77424.0
53033005900,115129.0
53033006000,114907.0
53033006100,115586.0
53033006200,208636.0
53033006300,129609.0
53033006400,166125.0
53033006500,101847.0
53033006600,114561.0
53033006700,118590.0
53033006800,128664.0
53033006900,130524.0
53033007000,69375.0
53033007100,86810.0
53033007200,117908.0
53033007300,92656.0
53033007401,78632.0
53033007402,53312.0
53033007500,67860.0
53033007600,88525.0
53033007700,107736.0
53033007800,190804.0
53033007900,81834.0
53033008001,127607.0
53033008002,72155.0
53033008100,82892.0
53033008200,94039.0
53033008300,68239.0
53033008400,69409.0
53033008500,62933.0
53033008600,60349.0
53033008700,96630.0
53033008800,134107.0
53033008900,110313.0
53033009000,43406.0
53033009100,40938.0
53033009200,20573.0
53033009300,92347.0
53033009400,73642.0
53033009500,104028.0
53033009600,132889.0
53033009701,126623.0
53033009702,127727.0
53033009800,118429.0
53033009900,90024.0
53033010001,58310.0
53033010002,73180.0
53033010100,100890.0
53033010200,114224.0
53033010300,89500.0
53033010401,85227.0
53033010402,91429.0
53033010500,97196.0
53033010600,109058.0
53033010701,72500.0
53033010702,46792.0
53033010800,92692.0
53033010900,64034.0
53033011001,37188.0
53033011002,48250.0
53033011101,55170.0
53033011102,97099.0
53033011200,53807.0
53033011300,56402.0
53033011401,78806.0
53033011402,54151.0
53033011500,111528.0
53033011600,118599.0
53033011700,82869.0
53033011800,62782.0
53033011900,101028.0
53033012000,110192.0
53033012100,127955.0
53033020100,115341.0
53033020200,93542.0
53033020300,76352.0
53033020401,71184.0
53033020402,104144.0
53033020500,80517.0
53033020600,86991.0
53033020700,82367.0
53033020800,116563.0
53033020900,103690.0
53033021000,98083.0
53033021100,84155.0
53033021300,85165.0
53033021400,132292.0
53033021500,137321.0
53033021600,124115.0
53033021700,86875.0
53033021802,90577.0
53033021803,91780.0
53033021804,85804.0
53033021903,83938.0
53033021904,108421.0
53033021905,98815.0
53033021906,104722.0
53033022001,102143.0
53033022003,117895.0
53033022005,96238.0
53033022006,87969.0
53033022101,132891.0
53033022102,131169.0
53033022201,112273.0
53033022202,105543.0
53033022203,146111.0
53033022300,178447.0
53033022400,142279.0
53033022500,129235.0
53033022603,120661.0
53033022604,139000.0
53033022605,110820.0
53033022606,107480.0
53033022701,140123.0
53033022702,146477.0
53033022703,131250.0
53033022801,96500.0
53033022802,143163.0
53033022803,125292.0
53033022901,149524.0
53033022902,154449.0
53033023000,140875.0
53033023100,139219.0
53033023201,96791.0
53033023202,61314.0
53033023300,109595.0
53033023401,95993.0
53033023403,131477.0
53033023404,152049.0
53033023500,129129.0
53033023601,119609.0
53033023603,110820.0
53033023604,84917.0
53033023700,125250.0
53033023801,109097.0
53033023803,118351.0
53033023804,121478.0
53033023900,165278.0
53033024000,146512.0
53033024200,212763.0
53033024300,109523.0
53033024400,97042.0
53033024500,202308.0
53033024601,224167.0
53033024602,229537.0
53033024701,91226.0
53033024702,136016.0
53033024800,93950.0
53033024901,161719.0
53033024902,166932.0
53033024903,185273.0
53033025001,132292.0
53033025003,165811.0
53033025005,124167.0
53033025006,155043.0
53033025101,86488.0
53033025102,103606.0
53033025200,96500.0
53033025301,82438.0
53033025302,54577.0
53033025400,62727.0
53033025500,69688.0
53033025601,74902.0
53033025602,121008.0
53033025701,67759.0
53033025702,102048.0
53033025803,65451.0
53033025804,85926.0
53033025805,68302.0
53033025806,96089.0
53033026001,102586.0
53033026002,60471.0
53033026100,50888.0
53033026200,60000.0
53033026300,69107.0
53033026400,57965.0
53033026500,39341.0
53033026600,86776.0
53033026700,101250.0
53033026801,55761.0
53033026802,56000.0
53033027000,60263.0
53033027100,46205.0
53033027200,57500.0
53033027300,60804.0
53033027400,74714.0
53033027500,64640.0
53033027600,78769.0
53033027701,70726.0
53033027702,93641.0
53033027800,102250.0
53033027900,65023.0
53033028000,51859.0
53033028100,62165.0
53033028200,64196.0
53033028300,91083.0
53033028402,51442.0
53033028403,54093.0
53033028500,71488.0
53033028600,83780.0
53033028700,98301.0
53033028801,66822.0
53033028802,61885.0
53033028901,73551.0
53033028902,54041.0
53033029001,76930.0
53033029003,50942.0
53033029004,43493.0
53033029101,70625.0
53033029102,93053.0
53033029203,57852.0
53033029204,74097.0
53033029205,74044.0
53033029206,34857.0
53033029303,75391.0
53033029304,92886.0
53033029305,105579.0
53033029306,103056.0
53033029307,100764.0
53033029403,83088.0
53033029405,86250.0
53033029406,105995.0
53033029407,51760.0
53033029408,56397.0
53033029502,98750.0
53033029503,52732.0
53033029504,45694.0
53033029601,74971.0
53033029602,129598.0
53033029700,49814.0
53033029801,72228.0
53033029802,93624.0
53033029901,93141.0
53033029902,107286.0
53033030003,71973.0
53033030004,56250.0
53033030005,68137.0
53033030006,48460.0
53033030100,88576.0
53033030201,71719.0
53033030202,65270.0
53033030304,71944.0
53033030305,65269.0
53033030306,92026.0
53033030308,76357.0
53033030309,65058.0
53033030310,89559.0
53033030311,85833.0
53033030312,66458.0
53033030313,49291.0
53033030314,39947.0
53033030401,80662.0
53033030403,81935.0
53033030404,97794.0
53033030501,31962.0
53033030503,57726.0
53033030504,62147.0
53033030600,63685.0
53033030700,54868.0
53033030801,53906.0
53033030802,55656.0
53033030901,82279.0
53033030902,57335.0
53033031000,122019.0
53033031100,65172.0
53033031202,97454.0
53033031204,106422.0
53033031205,71396.0
53033031206,77417.0
53033031301,78250.0
53033031302,53835.0
53033031400,77083.0
53033031501,87649.0
53033031502,83750.0
53033031601,108194.0
53033031603,117900.0
53033031604,101008.0
53033031605,111464.0
53033031703,96810.0
53033031704,101367.0
53033031705,115208.0
53033031706,98919.0
53033031800,114625.0
53033031903,118435.0
53033031904,106438.0
53033031906,109728.0
53033031907,95595.0
53033031908,80122.0
53033031909,110190.0
53033032002,94875.0
53033032003,116052.0
53033032005,100855.0
53033032006,102308.0
53033032007,108438.0
53033032008,109779.0
53033032010,119881.0
53033032011,112267.0
53033032102,125095.0
53033032103,86574.0
53033032104,103110.0
53033032203,178516.0
53033032207,165341.0
53033032208,122330.0
53033032210,133169.0
