CensusBlockGroupID,GeographicAreaName,MedianAgeTotal
530330027003 ,"Block Group 3, Census Tract 27, King County, Washington",41.2
530330027004 ,"Block Group 4, Census Tract 27, King County, Washington",36.1
530330028001 ,"Block Group 1, Census Tract 28, King County, Washington",39.2
530330028002 ,"Block Group 2, Census Tract 28, King County, Washington",38.7
530330028003 ,"Block Group 3, Census Tract 28, King County, Washington",37.1
530330028004 ,"Block Group 4, Census Tract 28, King County, Washington",35.6
530330029001 ,"Block Group 1, Census Tract 29, King County, Washington",40
530330029002 ,"Block Group 2, Census Tract 29, King County, Washington",42.3
530330029003 ,"Block Group 3, Census Tract 29, King County, Washington",37.9
530330030001 ,"Block Group 1, Census Tract 30, King County, Washington",43.6
530330030002 ,"Block Group 2, Census Tract 30, King County, Washington",42
530330030003 ,"Block Group 3, Census Tract 30, King County, Washington",36.4
530330030004 ,"Block Group 4, Census Tract 30, King County, Washington",34.2
530330031001 ,"Block Group 1, Census Tract 31, King County, Washington",41.9
530330031002 ,"Block Group 2, Census Tract 31, King County, Washington",38.4
530330031003 ,"Block Group 3, Census Tract 31, King County, Washington",44.2
530330031004 ,"Block Group 4, Census Tract 31, King County, Washington",45.4
530330031005 ,"Block Group 5, Census Tract 31, King County, Washington",39.3
530330032001 ,"Block Group 1, Census Tract 32, King County, Washington",31.7
530330032002 ,"Block Group 2, Census Tract 32, King County, Washington",33.8
530330032003 ,"Block Group 3, Census Tract 32, King County, Washington",35.2
530330032004 ,"Block Group 4, Census Tract 32, King County, Washington",36
530330032005 ,"Block Group 5, Census Tract 32, King County, Washington",34
530330032006 ,"Block Group 6, Census Tract 32, King County, Washington",51.2
530330032007 ,"Block Group 7, Census Tract 32, King County, Washington",44.4
530330033001 ,"Block Group 1, Census Tract 33, King County, Washington",35.9
530330033002 ,"Block Group 2, Census Tract 33, King County, Washington",39.2
530330033003 ,"Block Group 3, Census Tract 33, King County, Washington",32.5
530330033004 ,"Block Group 4, Census Tract 33, King County, Washington",31
530330033005 ,"Block Group 5, Census Tract 33, King County, Washington",37.1
530330034001 ,"Block Group 1, Census Tract 34, King County, Washington",36.5
530330034002 ,"Block Group 2, Census Tract 34, King County, Washington",44.1
530330034003 ,"Block Group 3, Census Tract 34, King County, Washington",30.9
530330035001 ,"Block Group 1, Census Tract 35, King County, Washington",39.4
530330035002 ,"Block Group 2, Census Tract 35, King County, Washington",37
530330035003 ,"Block Group 3, Census Tract 35, King County, Washington",43.6
530330036001 ,"Block Group 1, Census Tract 36, King County, Washington",28.6
530330036002 ,"Block Group 2, Census Tract 36, King County, Washington",31.5
530330036003 ,"Block Group 3, Census Tract 36, King County, Washington",40.9
530330036004 ,"Block Group 4, Census Tract 36, King County, Washington",31.8
530330038001 ,"Block Group 1, Census Tract 38, King County, Washington",32.1
530330038002 ,"Block Group 2, Census Tract 38, King County, Washington",37.4
530330039001 ,"Block Group 1, Census Tract 39, King County, Washington",38.8
530330039002 ,"Block Group 2, Census Tract 39, King County, Washington",45.5
530330040001 ,"Block Group 1, Census Tract 40, King County, Washington",33.9
530330040002 ,"Block Group 2, Census Tract 40, King County, Washington",46.4
530330041001 ,"Block Group 1, Census Tract 41, King County, Washington",34.2
530330041002 ,"Block Group 2, Census Tract 41, King County, Washington",47.5
530330041003 ,"Block Group 3, Census Tract 41, King County, Washington",30.8
530330041004 ,"Block Group 4, Census Tract 41, King County, Washington",40.2
530330041005 ,"Block Group 5, Census Tract 41, King County, Washington",34
530330041006 ,"Block Group 6, Census Tract 41, King County, Washington",44.5
530330042001 ,"Block Group 1, Census Tract 42, King County, Washington",46.4
530330042002 ,"Block Group 2, Census Tract 42, King County, Washington",37
530330042003 ,"Block Group 3, Census Tract 42, King County, Washington",41.5
530330042004 ,"Block Group 4, Census Tract 42, King County, Washington",39.1
530330042005 ,"Block Group 5, Census Tract 42, King County, Washington",43.9
530330043011 ,"Block Group 1, Census Tract 43.01, King County, Washington",22.6
530330043012 ,"Block Group 2, Census Tract 43.01, King County, Washington",35.6
530330043013 ,"Block Group 3, Census Tract 43.01, King County, Washington",42.8
530330043021 ,"Block Group 1, Census Tract 43.02, King County, Washington",21.6
530330043022 ,"Block Group 2, Census Tract 43.02, King County, Washington",23.4
530330044001 ,"Block Group 1, Census Tract 44, King County, Washington",23.7
530330044002 ,"Block Group 2, Census Tract 44, King County, Washington",30.2
530330044003 ,"Block Group 3, Census Tract 44, King County, Washington",23.3
530330044004 ,"Block Group 4, Census Tract 44, King County, Washington",24.5
530330045001 ,"Block Group 1, Census Tract 45, King County, Washington",26.3
530330045002 ,"Block Group 2, Census Tract 45, King County, Washington",34.3
530330046001 ,"Block Group 1, Census Tract 46, King County, Washington",36.1
530330046002 ,"Block Group 2, Census Tract 46, King County, Washington",37.9
530330046003 ,"Block Group 3, Census Tract 46, King County, Washington",40.1
530330047001 ,"Block Group 1, Census Tract 47, King County, Washington",40.3
530330047002 ,"Block Group 2, Census Tract 47, King County, Washington",30.8
530330047003 ,"Block Group 3, Census Tract 47, King County, Washington",33
530330047004 ,"Block Group 4, Census Tract 47, King County, Washington",35.5
530330048001 ,"Block Group 1, Census Tract 48, King County, Washington",33.3
530330048002 ,"Block Group 2, Census Tract 48, King County, Washington",45.4
530330048003 ,"Block Group 3, Census Tract 48, King County, Washington",33
530330048004 ,"Block Group 4, Census Tract 48, King County, Washington",32.8
530330049001 ,"Block Group 1, Census Tract 49, King County, Washington",33.1
530330049002 ,"Block Group 2, Census Tract 49, King County, Washington",28.4
530330049003 ,"Block Group 3, Census Tract 49, King County, Washington",29.8
530330049004 ,"Block Group 4, Census Tract 49, King County, Washington",34
530330049005 ,"Block Group 5, Census Tract 49, King County, Washington",31.1
530330050001 ,"Block Group 1, Census Tract 50, King County, Washington",36.2
530330050002 ,"Block Group 2, Census Tract 50, King County, Washington",28.2
530330050003 ,"Block Group 3, Census Tract 50, King County, Washington",29.9
530330051001 ,"Block Group 1, Census Tract 51, King County, Washington",37
530330051002 ,"Block Group 2, Census Tract 51, King County, Washington",46.4
530330051003 ,"Block Group 3, Census Tract 51, King County, Washington",34
530330052001 ,"Block Group 1, Census Tract 52, King County, Washington",22.1
530330052002 ,"Block Group 2, Census Tract 52, King County, Washington",22.5
