"GEO_ID","NAME","B01002_001E","B01002_001M","B01002_002E","B01002_002M","B01002_003E","B01002_003M"
"id","Geographic Area Name","Estimate!!Median age --!!Total:","Margin of Error!!Median age --!!Total:","Estimate!!Median age --!!Male","Margin of Error!!Median age --!!Male","Estimate!!Median age --!!Female","Margin of Error!!Median age --!!Female"
"1500000US530330232023","Block Group 3, Census Tract 232.02, King County, Washington","33.8","6.9","30.6","5.2","35.8","20.6"
"1500000US530330233001","Block Group 1, Census Tract 233, King County, Washington","40.7","4.2","42.9","9.5","39.0","4.3"
"1500000US530330233002","Block Group 2, Census Tract 233, King County, Washington","30.8","5.0","29.4","8.0","34.4","1.4"
"1500000US530330233003","Block Group 3, Census Tract 233, King County, Washington","41.9","12.6","34.8","10.1","50.4","7.0"
"1500000US530330233004","Block Group 4, Census Tract 233, King County, Washington","46.2","7.1","46.2","22.7","46.0","9.2"
"1500000US530330234011","Block Group 1, Census Tract 234.01, King County, Washington","39.5","3.5","39.4","5.8","39.7","5.2"
"1500000US530330234012","Block Group 2, Census Tract 234.01, King County, Washington","44.2","6.6","45.0","5.1","40.5","7.6"
"1500000US530330234013","Block Group 3, Census Tract 234.01, King County, Washington","31.1","1.8","31.6","1.1","28.0","8.2"
"1500000US530330234031","Block Group 1, Census Tract 234.03, King County, Washington","40.9","3.7","39.9","2.8","44.9","11.9"
"1500000US530330234032","Block Group 2, Census Tract 234.03, King County, Washington","38.7","5.2","38.9","3.5","36.6","12.4"
"1500000US530330234033","Block Group 3, Census Tract 234.03, King County, Washington","46.1","10.8","40.0","10.3","49.0","8.5"
"1500000US530330234041","Block Group 1, Census Tract 234.04, King County, Washington","38.6","3.3","34.8","4.7","40.6","4.2"
"1500000US530330234042","Block Group 2, Census Tract 234.04, King County, Washington","39.6","3.5","42.2","4.3","37.7","3.7"
"1500000US530330235001","Block Group 1, Census Tract 235, King County, Washington","41.3","2.3","37.7","4.4","42.6","4.2"
"1500000US530330235002","Block Group 2, Census Tract 235, King County, Washington","37.9","7.4","36.0","11.5","39.3","7.9"
"1500000US530330235003","Block Group 3, Census Tract 235, King County, Washington","38.0","4.2","37.5","5.1","39.2","5.4"
"1500000US530330236011","Block Group 1, Census Tract 236.01, King County, Washington","36.0","4.2","37.3","6.1","31.8","12.7"
"1500000US530330236012","Block Group 2, Census Tract 236.01, King County, Washington","37.2","2.4","37.6","1.9","35.9","4.0"
"1500000US530330236013","Block Group 3, Census Tract 236.01, King County, Washington","44.9","4.9","43.5","5.6","48.5","6.0"
"1500000US530330236031","Block Group 1, Census Tract 236.03, King County, Washington","38.5","11.7","31.3","8.3","46.4","11.1"
"1500000US530330236032","Block Group 2, Census Tract 236.03, King County, Washington","31.6","1.2","33.4","1.4","28.7","0.9"
"1500000US530330236033","Block Group 3, Census Tract 236.03, King County, Washington","41.9","6.0","35.4","12.2","49.7","12.3"
"1500000US530330236034","Block Group 4, Census Tract 236.03, King County, Washington","25.0","7.7","27.1","6.0","24.9","12.4"
"1500000US530330236041","Block Group 1, Census Tract 236.04, King County, Washington","32.7","1.0","32.3","1.6","32.8","7.3"
"1500000US530330236042","Block Group 2, Census Tract 236.04, King County, Washington","43.9","10.0","42.7","22.1","48.0","11.0"
"1500000US530330236043","Block Group 3, Census Tract 236.04, King County, Washington","51.4","6.5","45.6","11.0","53.2","6.5"
"1500000US530330236044","Block Group 4, Census Tract 236.04, King County, Washington","31.3","8.7","40.9","23.4","27.4","8.9"
"1500000US530330237001","Block Group 1, Census Tract 237, King County, Washington","47.5","5.8","45.4","6.0","49.7","6.1"
"1500000US530330237002","Block Group 2, Census Tract 237, King County, Washington","43.1","2.4","40.6","5.6","44.5","2.6"
"1500000US530330237003","Block Group 3, Census Tract 237, King County, Washington","32.9","3.1","29.1","4.3","36.5","3.3"
"1500000US530330238011","Block Group 1, Census Tract 238.01, King County, Washington","39.8","4.9","37.5","7.1","41.8","5.3"
"1500000US530330238012","Block Group 2, Census Tract 238.01, King County, Washington","32.1","1.8","32.9","3.5","31.1","4.5"
"1500000US530330238031","Block Group 1, Census Tract 238.03, King County, Washington","33.1","1.9","31.9","1.2","33.8","3.1"
"1500000US530330238032","Block Group 2, Census Tract 238.03, King County, Washington","32.9","3.1","32.1","1.6","36.3","7.1"
"1500000US530330238041","Block Group 1, Census Tract 238.04, King County, Washington","34.3","6.0","31.6","2.6","41.2","9.6"
"1500000US530330238042","Block Group 2, Census Tract 238.04, King County, Washington","40.6","10.0","34.4","5.1","44.5","3.1"
"1500000US530330238043","Block Group 3, Census Tract 238.04, King County, Washington","33.0","1.8","34.1","1.5","30.8","1.9"
"1500000US530330239001","Block Group 1, Census Tract 239, King County, Washington","39.2","4.5","38.4","6.7","39.8","8.4"
"1500000US530330239002","Block Group 2, Census Tract 239, King County, Washington","48.4","4.6","48.3","5.7","49.2","8.6"
"1500000US530330239003","Block Group 3, Census Tract 239, King County, Washington","44.7","4.1","39.9","11.0","46.3","3.3"
"1500000US530330239004","Block Group 4, Census Tract 239, King County, Washington","46.9","9.7","44.5","8.2","52.6","11.5"
"1500000US530330240001","Block Group 1, Census Tract 240, King County, Washington","39.8","6.7","33.7","8.1","45.9","9.7"
"1500000US530330240002","Block Group 2, Census Tract 240, King County, Washington","41.4","4.0","39.2","7.5","42.1","3.9"
"1500000US530330240003","Block Group 3, Census Tract 240, King County, Washington","37.4","2.2","36.4","1.4","40.1","6.6"
"1500000US530330240004","Block Group 4, Census Tract 240, King County, Washington","42.0","5.2","41.2","4.0","46.7","8.9"
"1500000US530330241001","Block Group 1, Census Tract 241, King County, Washington","50.5","1.0","50.1","1.9","50.9","1.5"
"1500000US530330241002","Block Group 2, Census Tract 241, King County, Washington","51.7","3.3","50.6","5.0","53.2","4.1"
"1500000US530330241003","Block Group 3, Census Tract 241, King County, Washington","44.0","1.9","42.5","4.3","44.4","2.0"
"1500000US530330241004","Block Group 4, Census Tract 241, King County, Washington","47.2","2.3","48.0","3.3","46.8","2.5"
"1500000US530330242001","Block Group 1, Census Tract 242, King County, Washington","44.9","2.1","46.1","4.2","44.6","3.4"
"1500000US530330242002","Block Group 2, Census Tract 242, King County, Washington","48.8","4.0","47.8","4.9","50.1","4.0"
"1500000US530330243001","Block Group 1, Census Tract 243, King County, Washington","39.7","18.9","31.1","18.0","44.5","14.4"
"1500000US530330243002","Block Group 2, Census Tract 243, King County, Washington","47.6","9.2","48.3","8.7","45.5","15.5"
"1500000US530330243003","Block Group 3, Census Tract 243, King County, Washington","48.7","18.5","56.8","11.7","35.3","26.1"
"1500000US530330243004","Block Group 4, Census Tract 243, King County, Washington","48.0","9.1","45.2","10.4","48.9","8.8"
"1500000US530330243005","Block Group 5, Census Tract 243, King County, Washington","46.2","4.0","45.8","4.9","46.6","5.0"
"1500000US530330244001","Block Group 1, Census Tract 244, King County, Washington","58.4","7.1","58.0","7.8","58.7","12.7"
"1500000US530330244002","Block Group 2, Census Tract 244, King County, Washington","33.6","3.3","31.3","3.0","36.1","3.3"
"1500000US530330245001","Block Group 1, Census Tract 245, King County, Washington","43.3","4.0","43.7","2.9","42.7","6.6"
